№,Name:,Description:,Price:,Image Url:
1,"Hyundai Sonata, 2015","
Тип топлива: БензинКоробка передач: АКПП ",$ 12700,https://auto312.kg//components/com_djclassifieds/images/item/7/7696_img_20231023_163852_ths.jpg
2,"Mercedes-Benz S-class, 2007","
Тип топлива: БензинКоробка передач: АКПП ",$ 14500,https://auto312.kg//components/com_djclassifieds/images/item/7/7695_img-20231023-wa0091_ths.jpg
3,"Lexus LX, 2011","
Тип топлива: БензинКоробка передач: АКПП ",$ 40000,https://auto312.kg//components/com_djclassifieds/images/item/7/7694_img-20231023-wa0082_ths.jpg
4,"Mercedes-Benz , 2003","
Тип топлива: ДизельКоробка передач: МКПППробег ( км ): 250000 ",$ 12500,https://auto312.kg//components/com_djclassifieds/images/item/7/7693_img-20231023-wa0007_ths.jpg
5,"Mercedes-Benz E Class, 2012","
Тип топлива: БензинКоробка передач: АКПП ",$ 16000,https://auto312.kg//components/com_djclassifieds/images/item/7/7692_img-20231023-wa0134_ths.jpg
6,"Genesis , 2022","
Тип топлива: ДизельКоробка передач: АКПППробег ( км ): 500 ",$ 84000,https://auto312.kg//components/com_djclassifieds/images/item/7/7691_img_20231023_180648501_ths.jpeg
7,"Honda CR-V, 2016","
Тип топлива: БензинКоробка передач: АКПП ",$ 20300,https://auto312.kg//components/com_djclassifieds/images/item/7/7690_img_20231023_175814184_ths.jpeg
8,"Audi  A6, 2002","
Тип топлива: БензинКоробка передач: МКПППробег ( км ): 319566 ",Сом 400000,https://auto312.kg//components/com_djclassifieds/images/item/7/7689_a1_ths.jpg
9,"Lexus LX, 2011","
Тип топлива: БензинКоробка передач: АКПП ",$ 26200,https://auto312.kg//components/com_djclassifieds/images/item/7/7688_img-20231022-wa0035_ths.jpg
10,"GMC , 2020","
Тип топлива: ДизельКоробка передач: МКПП ",$ 17200,https://auto312.kg//components/com_djclassifieds/images/item/7/7687_img-20231022-wa0032_ths.jpg
11,"Subaru Outback, 2018","
Тип топлива: БензинКоробка передач: Вариатор ",$ 22800,https://auto312.kg//components/com_djclassifieds/images/item/7/7686_img-20231022-wa0029_ths.jpg
12,"Hyundai Terracan, 2003","
Тип топлива: ДизельКоробка передач: АКПП ",Сом 650000,https://auto312.kg//components/com_djclassifieds/images/item/7/7685_img-20231022-wa0015_ths.jpg
13,"Lexus NX, 2019","
Тип топлива: БензинКоробка передач: АКПП ",$ 30500,https://auto312.kg//components/com_djclassifieds/images/item/7/7684_img-20231022-wa0010_ths.jpg
14,"Mazda 626, 1999","
Тип топлива: БензинКоробка передач: МКПППробег ( км ): 232323 ",Сом 298 000,https://auto312.kg//components/com_djclassifieds/images/item/7/7683_whatsapp_image_2023-10-03_at_22.28.17_1_ths.jpeg
15,"Hyundai Sonata, 2016","
Коробка передач: АКПП ",$ 11500,https://auto312.kg//components/com_djclassifieds/images/item/7/7682_img_20231021_194519_ths.jpg
16,"Honda CR-V, 2016","
Тип топлива: БензинКоробка передач: АКПП ",$ 21500,https://auto312.kg//components/com_djclassifieds/images/item/7/7681_img-20231021-wa0072_ths.jpg
17,"Volkswagen Golf, 2005","
Тип топлива: БензинКоробка передач: АКПП ",$ 9900,https://auto312.kg//components/com_djclassifieds/images/item/7/7680_img-20231021-wa0038_ths.jpg
18,"KIA Sportage, 2017","
Тип топлива: ДизельКоробка передач: АКПП ",$ 17500,https://auto312.kg//components/com_djclassifieds/images/item/7/7679_img-20231021-wa0028_ths.jpg
19,Полная ПОКРАСКА авто в Бишкеке,"
",,https://auto312.kg//components/com_djclassifieds/images/item/7/7678_2pokraska3_ths.jpg
20,Покраска БАМПЕРА в Бишкеке. Ремонт БАМПЕРА,"
",,https://auto312.kg//components/com_djclassifieds/images/item/7/7677_1bamper11_ths.jpg
